timestamps,VehicleSpeed,Throttle,Gear,EngineRpm,Brake
1.6400000000000001,-0.08619431753837468,0.0,1,600.0,2282.0
1.6800000000000002,0.5405300927693937,0.0,1,600.0,2281.0
1.7200000000000002,0.0648976700969066,0.0,1,600.0,2281.0
1.7600000000000002,-0.4061719532697392,0.0,1,600.0,2282.0
1.8000000000000003,0.22319273535482698,0.0,1,600.0,2281.0
1.84,-0.2495478418379483,0.0,1,600.0,2281.0
1.8800000000000001,0.3784112288401398,0.0,1,600.0,2281.0
1.9200000000000002,-0.09550510006192271,0.0,1,600.0,2282.0
1.9600000000000002,0.5310671281641357,0.0,1,600.0,2281.0
1.9990000000000003,0.05552123943765887,0.0,1,600.0,2281.0
2.04,-0.41546355516291583,0.0,1,600.0,2281.0
2.08,0.21398437956635905,0.0,1,600.0,2282.0
2.12,-0.25843644491753404,0.0,1,600.0,2281.0
2.16,0.3698386632776948,0.0,1,600.0,2281.0
2.2,-0.10399955896541742,0.0,1,600.0,2281.0
2.2399999999999998,0.5226492583592173,0.0,1,600.0,2282.0
2.28,0.047416477936670844,0.0,1,600.0,2275.0
2.32,-0.4237311538713127,0.0,1,600.0,2180.0
2.36,0.2043739590546222,0.0,1,600.0,2095.0
2.4,-0.2441088089428404,0.0,1,600.0,1996.0
2.44,0.3398780790199433,0.0,1,600.0,1879.0
2.48,-0.06638546918910901,0.0,1,600.0,1768.0
2.52,0.4649931244926171,0.0,1,600.0,1645.0
2.56,0.11143034760906628,0.0,1,600.0,1512.0
2.6,-0.20987121057739824,0.0,1,600.0,1383.0
2.64,0.23613424352479628,0.0,1,600.0,1255.0
2.68,-0.0244279642938868,0.0,1,600.0,1126.0
2.72,0.3592163531884976,0.0,1,600.0,1006.0
2.7600000000000002,0.15822435147482633,0.0,1,600.0,909.0
2.8,-0.01260351268539538,0.0,1,600.0,827.0
2.84,0.2892272497998294,0.0,1,600.0,741.0
2.88,0.15948008734744668,0.0,1,600.0,633.0
2.921,0.051219717466586025,0.0,1,600.0,528.0
2.96,-0.03055637618725876,0.0,1,600.0,426.0
3.0,0.18146461504465852,0.0,1,600.0,331.0
3.04,0.14739107207564556,0.0,1,600.0,255.0
3.08,0.136060456042316,0.0,1,600.0,184.0
3.12,0.14277968732344792,0.0,1,600.0,105.0
3.16,0.16620443796083598,0.0,1,600.0,105.0
3.2,0.20807240444304512,0.0,1,600.0,105.0
3.24,0.24956050577245503,0.0,1,600.0,105.0
3.2800000000000002,0.2906718348047621,0.0,1,600.0,1.0
3.32,0.3314094656106078,0.0,1,600.0,0.0
3.36,0.3963357121265976,0.0,1,600.0,0.0
3.4,0.46090668365564225,0.0,1,600.0,0.0
3.44,0.5248886110072393,0.0,1,600.0,0.0
3.48,0.588286021774325,0.0,1,600.0,0.0
3.521,0.6512778668258041,0.0,1,600.0,0.0
3.56,0.714015122950831,0.0,1,600.0,0.0
3.6,0.7764976291888114,0.0,1,600.0,0.0
3.641,0.838725234359942,1.0,1,600.0,0.0
3.68,0.9006977970799627,1.0,1,600.0,0.0
3.72,0.9624151857735915,1.0,1,600.0,0.0
3.7600000000000002,1.023877278686639,9.0,1,600.0,0.0
3.8000000000000003,1.0850839638967962,9.0,1,600.0,0.0
3.8400000000000003,1.1460351393230916,9.0,1,742.6224984672144,0.0
3.88,1.2454453761541184,17.0,1,836.6378891100312,0.0
3.92,1.3744255038713902,19.0,1,896.3857398413595,0.0
3.96,1.5236358072907263,19.0,1,1102.4011227432247,0.0
4.001,1.7554154886882065,19.0,1,1223.285347983446,0.0
4.04,2.0424569086082736,29.0,1,1271.9128749993567,0.0
4.08,2.3516361186296626,31.0,1,1301.384928269565,0.0
4.121,2.6733868618740346,31.0,1,1482.4872373930366,0.0
4.16,3.093787864171227,31.0,1,1616.774944463326,0.0
4.2,3.5925026743780526,40.0,1,1692.1453710235317,0.0
4.24,4.131770706107596,41.0,1,1732.7401222674218,0.0
4.28,4.687286046006941,41.0,1,1861.46262200676,0.0
4.32,5.323723596148944,47.0,1,1940.7367196618936,1.0
4.36,6.005088842603883,50.0,1,1982.58984845651,0.0
4.4,6.695652642173475,50.0,1,2067.701391670655,0.0
4.44,7.431108127377815,50.0,1,2146.677669943372,0.0
4.481,8.205498793138409,58.0,1,2190.84268020761,0.0
4.5200000000000005,8.986308948840968,61.0,1,2217.7137914715286,0.0
4.5600000000000005,9.751548029296417,61.0,1,2276.0465630306003,0.0
4.601,10.53068620273818,61.0,1,2324.5853317652036,0.0
4.640000000000001,11.314178250307918,70.0,1,2356.1871427671867,0.0
4.68,12.081880053304289,72.0,1,2382.168917321822,0.0
4.721,12.827859817009735,72.0,1,2430.556494778562,0.0
4.76,13.57486194063321,72.0,1,2470.902638445581,0.0
4.8,14.315567048174348,83.0,1,2501.8842368013156,0.0
4.84,15.036728013071142,84.0,1,2531.927684185405,0.0
4.88,15.738251915763785,84.0,1,2589.6665365805657,0.0
4.92,16.44851924269772,93.0,1,2633.2600169192524,0.0
4.96,17.153740503378508,96.0,1,2669.170985103376,0.0
5.0,17.84738277849352,97.0,1,2709.6477926103316,0.0
5.04,18.531696781244456,97.0,1,2748.615007625192,0.0
5.081,19.205397690732077,100.0,1,2785.715575697755,0.0
5.12,19.867977360416443,100.0,1,2820.4732162712057,0.0
5.16,20.518496797432313,100.0,1,2857.0415745308837,0.0
5.2,21.159937987201285,100.0,1,2889.6266743658225,0.0
5.24,21.78962923013796,100.0,1,2920.151317445656,0.0
5.28,22.40507246412964,100.0,1,2950.9107006091954,0.0
5.321000000000001,22.999368066515558,100.0,1,2987.275070919678,0.0
5.36,23.581330508968623,100.0,1,3024.5091963381865,1.0
5.4,24.15140388612976,100.0,1,3064.1402910733923,0.0
5.44,24.71238730592419,100.0,1,3105.184008732462,0.0
5.48,25.26916542258432,100.0,1,3146.7061202934,0.0
5.5200000000000005,25.819999981752833,100.0,1,3194.0084660572816,0.0
5.5600000000000005,26.372664634516852,100.0,1,3239.0711138626307,0.0
5.6000000000000005,26.92294537171909,100.0,1,3285.8590434688763,0.0
5.640000000000001,27.467065901238115,100.0,1,3337.7147406691324,0.0
5.681,28.012929608135213,100.0,1,3387.236825407611,0.0
5.720000000000001,28.555314981129758,100.0,1,3440.334494684693,0.0
5.76,29.100599637427294,100.0,1,3490.575485529573,0.0
5.8,29.642827831285658,100.0,1,3543.938318831057,7.0
